,item_name,main_category,sub_category,transactions,quantity,investment,revenue,profit
0,Artichoke,Fresh Produce,Other Vegies,1,12.0,18.0,21.6,3.5999999999999996
1,Artichoke Purple,Fresh Produce,Other Vegies,1,15.0,30.0,30.0,0.0
2,Avocado Small Hass,Fresh Produce,Avocadoes,1,12.0,6.0,30.0,24.0
3,Basil Seed Rose Sharbath,Beverages,Mix,1,12.0,12.0,21.818181816,9.818181816
4,Beans Broad,Fresh Produce,Other Vegies,1,11.0,0.0,65.89,65.89
5,Carrots,Fresh Produce,Carrots,10,205.0,0.0,348.5,348.5
6,Coriander,Fresh Produce,Herbs,7,84.0,0.0,167.16,167.16
7,Cucumber Continental,Fresh Produce,Cucumbers,11,165.0,0.0,247.5,247.5
8,Daawat Everyday5Kg,Pantry Staples,Rice,1,12.0,111.0,144.0,33.0
9,Diced Tomatoes,Pantry Staples,Pasta,21,330.0,224.39999999999995,326.69999999999993,102.29999999999998
10,Egg Pasta Large 250G,Pantry Staples,Pasta,1,12.0,19.200000000000003,29.880000000000003,10.68
11,Eggs 700G,"Dairy, Cheese, And Eggs",Eggs,2,26.0,70.20000000000002,83.20000000000002,13.0
12,Extra Hot Bhuja 300G,Snacks,Packaged Snacks,1,15.0,28.799999999999997,59.85,31.049999999999997
13,Flower Pot,Flowers,Flowers,1,12.0,0.0,120.0,120.0
14,Gourmet Salt Crystals 1Kg,Pantry Staples,Spices,2,38.0,45.599999999999994,75.62,30.020000000000003
15,Kensington Pride Mango,Fresh Produce,Fruits,2,47.0,0.0,94.0,94.0
16,Kensington Pride Mangoes Large,Fresh Produce,Fruits,1,11.0,0.0,33.0,33.0
17,Kiwi Fruit Gold,Fresh Produce,Other Fruits,1,13.0,6.5,23.400000000000002,16.900000000000002
18,Leek,Fresh Produce,Other Vegies,1,12.0,12.0,24.0,12.0
19,Lemon,Fresh Produce,Citrus Fruits,1,11.3,0.0,33.787000000000006,33.787000000000006
20,Lettuce Iceberg,Fresh Produce,Lettuces,1,12.0,0.0,30.0,30.0
21,Orange Navel,Fresh Produce,Citrus Fruits,2,27.8,0.0,83.12200000000001,83.12200000000001
22,Peeled Plum Tomatoes,Pantry Staples,Pasta,8,129.0,87.72,127.71,39.99
23,Persimmons,Fresh Produce,Other Fruits,4,59.0,0.0,53.1,53.1
24,Potato Brushed,Fresh Produce,Potatoes,1,12.0,27.0,30.0,3.0
25,R2E2 Mango,Fresh Produce,Tropical Fruits,4,49.0,49.0,122.5,73.5
26,Rape,Fresh Produce,Bunch Vegies,1,23.0,57.5,69.0,11.5
27,Watermelon Seedless,Fresh Produce,Melons,45,499.4300000000001,499.4300000000001,744.1507,244.72070000000002
